City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
170,Yumen,40.2833,97.2,21.49,28,100,11.01,CN,2022-01-31 04:54:17,overcast clouds
171,Te Anau,-45.4167,167.7167,72.16,68,98,2.95,NZ,2022-01-31 04:50:08,overcast clouds
172,Bose,45.4612,8.0137,45.82,68,8,2.51,IT,2022-01-31 04:54:17,clear sky
173,Flin Flon,54.7682,-101.865,4.12,97,94,4.97,CA,2022-01-31 04:54:17,overcast clouds
174,Ucluelet,48.9329,-125.5528,43.09,82,57,8.99,CA,2022-01-31 04:52:25,broken clouds
175,San Carlos De Bariloche,-41.1456,-71.3082,47.95,46,0,14.97,AR,2022-01-31 04:53:34,clear sky
176,Agua Branca,-5.8922,-42.6361,71.01,89,45,2.28,BR,2022-01-31 04:54:18,scattered clouds
177,Puerto Ayora,-0.7393,-90.3518,73.04,84,100,5.59,EC,2022-01-31 04:54:18,overcast clouds
178,Marzuq,14.4,46.4667,65.77,53,58,2.57,YE,2022-01-31 04:54:19,broken clouds
179,Daru,-9.0763,143.2092,85.33,68,87,3.6,PG,2022-01-31 04:54:19,moderate rain
180,Umm Lajj,25.0213,37.2685,62.71,57,100,5.55,SA,2022-01-31 04:54:19,overcast clouds
181,Caravelas,-17.7125,-39.2481,77.36,87,64,8.66,BR,2022-01-31 04:54:20,broken clouds
182,Hofn,64.2539,-15.2082,24.22,47,99,12.08,IS,2022-01-31 04:54:20,overcast clouds
183,Bluff,-46.6,168.3333,63.14,84,96,3.38,NZ,2022-01-31 04:55:20,overcast clouds
184,Nanortalik,60.1432,-45.2371,22.73,76,99,20.6,GL,2022-01-31 04:55:21,overcast clouds
185,Natchitoches,31.7668,-93.1335,45.45,81,0,0.0,US,2022-01-31 04:55:21,clear sky
186,La Ronge,55.1001,-105.2842,10.65,85,100,5.75,CA,2022-01-31 04:55:22,overcast clouds
187,Port Hedland,-20.3167,118.5667,96.85,52,100,13.8,AU,2022-01-31 04:55:22,overcast clouds
188,Bereda,43.2686,-7.5406,39.58,100,94,6.71,ES,2022-01-31 04:55:22,overcast clouds
189,Coquimbo,-29.9533,-71.3436,62.33,88,0,1.14,CL,2022-01-31 04:55:22,clear sky
190,Turinsk,58.0458,63.696,8.85,95,100,2.57,RU,2022-01-31 04:55:23,overcast clouds
191,Thunder Bay,48.4001,-89.3168,11.55,80,100,4.61,CA,2022-01-31 04:55:23,overcast clouds
192,Anyang,36.0994,114.3289,43.39,14,0,12.35,CN,2022-01-31 04:55:24,clear sky
193,Harper,4.375,-7.7169,77.43,86,38,1.99,LR,2022-01-31 04:55:24,scattered clouds
194,Codrington,-38.2667,141.9667,74.64,68,3,11.74,AU,2022-01-31 04:55:24,clear sky
195,Abu Samrah,35.3029,37.1841,42.15,71,100,2.48,SY,2022-01-31 04:55:25,overcast clouds
196,Rocha,-34.4833,-54.3333,65.28,92,1,8.72,UY,2022-01-31 04:55:25,clear sky
197,Tuktoyaktuk,69.4541,-133.0374,-2.2,84,100,23.02,CA,2022-01-31 04:52:27,light snow
198,Klaksvik,62.2266,-6.589,32.92,62,99,36.69,FO,2022-01-31 04:55:26,overcast clouds
199,Warragul,-38.1667,145.9333,93.7,52,27,1.99,AU,2022-01-31 04:53:17,scattered clouds
200,Hilo,19.7297,-155.09,73.13,76,0,3.44,US,2022-01-31 04:42:31,clear sky
201,Georgetown,5.4112,100.3354,91.33,66,20,4.61,MY,2022-01-31 04:46:51,few clouds
202,Bandarbeyla,9.4942,50.8122,76.96,76,85,17.18,SO,2022-01-31 04:55:26,overcast clouds
203,Alofi,-19.0595,-169.9187,75.07,83,100,11.54,NU,2022-01-31 04:55:27,overcast clouds
204,Bantacan,7.604,126.1298,86.49,64,96,5.93,PH,2022-01-31 04:55:27,overcast clouds
205,Port Hardy,50.6996,-127.4199,40.75,87,75,8.05,CA,2022-01-31 04:55:27,broken clouds
206,Antalaha,-14.9003,50.2788,80.92,68,62,8.12,MG,2022-01-31 04:55:28,broken clouds
207,Mumford,5.2618,-0.759,76.53,76,99,0.25,GH,2022-01-31 04:55:28,overcast clouds
208,High Prairie,55.4334,-116.4858,13.3,94,100,13.2,CA,2022-01-31 04:55:28,snow
209,Powell,40.1578,-83.0752,19.9,82,0,4.61,US,2022-01-31 04:55:29,clear sky
210,East London,-33.0153,27.9116,72.54,88,0,9.22,ZA,2022-01-31 04:55:29,clear sky
211,Lere,10.387,8.5726,59.4,18,96,9.93,NG,2022-01-31 04:55:29,overcast clouds
212,Viedma,-40.8135,-62.9967,57.38,44,66,6.4,AR,2022-01-31 04:55:30,broken clouds
213,Mehamn,71.0357,27.8492,30.38,93,75,14.97,NO,2022-01-31 04:55:30,snow
214,Mount Isa,-20.7333,139.5,89.37,55,40,8.05,AU,2022-01-31 04:55:30,scattered clouds
215,Lubyany,56.0378,51.4,19.04,99,92,2.84,RU,2022-01-31 04:55:31,overcast clouds
216,Zapolyarnyy,69.4154,30.8136,2.48,98,76,4.47,RU,2022-01-31 04:55:31,broken clouds
217,Son Tay,21.1378,105.505,55.33,80,100,1.72,VN,2022-01-31 04:55:32,overcast clouds
218,La Baule-Escoublac,47.2922,-2.364,48.87,95,100,13.8,FR,2022-01-31 04:55:32,overcast clouds
219,Libreville,0.3925,9.4537,78.3,84,96,3.96,GA,2022-01-31 04:55:32,light rain
220,Barcelos,41.5388,-8.6151,41.85,56,0,4.41,PT,2022-01-31 04:55:33,clear sky
221,Zabol,32.25,67.25,39.85,59,0,13.06,AF,2022-01-31 04:55:33,clear sky
222,Isangel,-19.55,169.2667,86.11,84,75,4.61,VU,2022-01-31 04:52:47,broken clouds
223,Bengkulu,-3.8004,102.2655,85.32,62,94,4.5,ID,2022-01-31 04:55:33,overcast clouds
224,Karatau,43.1667,70.4667,30.52,80,99,5.17,KZ,2022-01-31 04:55:34,overcast clouds
225,Teacapan,22.55,-105.75,66.97,76,100,4.5,MX,2022-01-31 04:55:34,overcast clouds
226,Tilichiki,60.4667,166.1,12.43,92,100,10.76,RU,2022-01-31 04:55:34,overcast clouds
227,Losinyy,57.1386,61.0666,6.55,98,86,2.86,RU,2022-01-31 04:56:35,overcast clouds
228,Sola,-13.8833,167.55,79.59,80,100,8.88,VU,2022-01-31 04:56:23,overcast clouds
229,Panjab,34.388,67.0233,14.9,97,94,1.07,AF,2022-01-31 04:56:35,overcast clouds
230,Hengshui,37.7322,115.7011,38.21,22,0,7.56,CN,2022-01-31 04:56:35,clear sky
231,Kasongo-Lunda,-6.4667,16.8167,68.11,98,100,0.92,CD,2022-01-31 04:56:36,overcast clouds
232,Lockhart,28.6194,-81.4426,42.98,72,0,5.01,US,2022-01-31 04:56:36,clear sky
233,Antonina,-25.4286,-48.7119,77.63,99,100,1.39,BR,2022-01-31 04:56:37,overcast clouds
234,Konin,52.2234,18.2512,30.02,83,89,14.05,PL,2022-01-31 04:53:53,overcast clouds
235,Mayo,38.8876,-76.5119,29.89,68,100,3.0,US,2022-01-31 04:56:37,overcast clouds
236,Saldanha,-33.0117,17.9442,62.65,79,100,6.02,ZA,2022-01-31 04:56:37,overcast clouds
237,Dzaoudzi,-12.7887,45.2699,82.29,78,0,4.61,YT,2022-01-31 04:56:38,clear sky
238,Luderitz,-26.6481,15.1594,63.27,93,65,6.26,NA,2022-01-31 04:56:38,broken clouds
239,Morondava,-20.2833,44.2833,81.66,70,0,5.75,MG,2022-01-31 04:56:38,clear sky
240,Honningsvag,70.9821,25.9704,29.95,74,20,12.66,NO,2022-01-31 04:56:39,few clouds
241,Moerai,-22.4333,-151.3333,79.3,78,35,12.12,PF,2022-01-31 04:56:39,light rain
242,Mackay,-21.15,149.2,89.69,70,75,12.66,AU,2022-01-31 04:56:39,broken clouds
243,Malakal,9.5334,31.6605,69.55,17,14,8.57,SS,2022-01-31 04:56:40,few clouds
244,Cuiaba,-15.5961,-56.0967,73.33,94,75,5.75,BR,2022-01-31 04:56:40,broken clouds
245,Alizai,33.5383,70.3462,52.72,34,0,2.19,PK,2022-01-31 04:56:40,clear sky
246,Kirakira,-10.4544,161.9205,84.22,75,59,6.78,SB,2022-01-31 04:56:41,broken clouds
247,Longyearbyen,78.2186,15.6401,10.24,61,40,17.27,SJ,2022-01-31 04:56:41,light shower snow
248,Abha,18.2164,42.5053,51.62,87,0,6.91,SA,2022-01-31 04:56:41,clear sky
249,Maragogi,-9.0122,-35.2225,77.14,80,35,4.94,BR,2022-01-31 04:56:42,scattered clouds
250,Bethel,41.3712,-73.414,22.05,69,78,2.28,US,2022-01-31 04:56:42,broken clouds
251,Semey,50.4111,80.2275,8.82,78,0,4.47,KZ,2022-01-31 04:56:42,clear sky
252,Loandjili,-4.7561,11.8578,77.11,100,75,3.44,CG,2022-01-31 04:56:43,broken clouds
253,Cherskiy,68.75,161.3,-27.53,99,72,1.52,RU,2022-01-31 04:46:50,broken clouds
254,Hay River,60.8156,-115.7999,-5.82,77,40,8.05,CA,2022-01-31 04:56:43,light snow
